Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,5662,7206,7474,7421,7953,7876,7687,7438,8135,6885
Belgium,5635,7973,8026,7301,7127,7331,7257,7687,7842,7980
Bulgaria,726,737,835,633,523,612,543,527,652,666
Croatia,43,95,96,1,135,167,122,0,0,136
Czech Republic,4594,5180,5583,5072,5171,5360,5262,5305,4550,4938
Germany,32670,43830,44284,42661,42645,42943,42676,42080,43297,42435
Finland,3066,4029,3989,3759,3517,3807,3988,4101,4003,4146
France,12840,15414,15780,15609,15685,16143,14984,14413,15505,15387
Greece,2000,1821,1934,1247,1030,1022,910,1158,1359,1467
Hungary,1403,1678,1746,1542,883,1152,1675,1274,1901,1989
Italy,19848,25750,28735,27252,24093,23714,22018,23373,24068,24532
Latvia,000,000,000,000,000,692,655,568,805,198
Luxembourg,2141,2548,2521,2208,2090,2193,2127,2175,2172,2228
Netherlands,5194,6651,6937,6879,6713,6964,6995,6917,6781,6813
Poland,7128,7993,8779,8366,7950,8558,9198,9001,10332,10167
Portugal,1614,1543,1942,1960,2050,2070,2030,2010,2076,2215
Romania,2761,3721,3828,3292,2985,3158,3352,3276,3361,3550
Slovak Republic,3747,4583,4236,4403,4511,4705,4562,4808,4974,5225
Slovenia,430,606,648,632,618,615,604,613,648,654
Spain,14358,16343,15504,13639,14252,14249,14845,13616,14441,14320
Sweden,2804,4846,4867,4326,4404,4539,4557,4817,4926,4654
United Kingdom,10074,9708,9478,9579,11858,12033,10907,7635,7491,7268
Albania,000,000,221,390,464,500,550,560,150,50
Bosnia And Herzegovina,519,592,649,700,722,793,819,806,756,695
Macedonia,270,292,386,217,100,188,121,169,273,266
Montenegro,130,130,140,120,70,140,150,120,120,120
Norway,595,530,610,700,605,600,590,620,603,575
Serbia,1061,1254,1324,346,396,583,955,1173,1477,1973
Switzerland,934,1320,1400,1450,1530,1475,1475,1500,1450,1500
Turkey,25304,29143,34107,35885,34654,34035,31517,33163,37524,37312
Azerbaijan,120,120,120,120,173,180,180,180,180,200
Belarus,2417,2530,2614,2687,2245,2513,2510,2188,2343,2470
Kazakhstan,4146,4220,4699,3676,3275,3681,3910,4289,4641,3964
Moldova,426,240,313,335,190,351,443,126,469,497
Russia,60011,66942,68852,70209,69008,71461,70898,70453,71491,72042
Ukraine,29855,33432,35332,32975,32771,27170,22968,24218,21417,21100
Uzbekistan,716,716,733,736,746,723,643,654,654,646
CIS,97691,108200,112663,110739,108408,106079,101552,102108,101195,100919
Canada,9292,13009,12891,13507,12417,12730,12473,12646,13208,13443
Cuba,267,278,282,277,322,256,284,244,221,225
El Salvador,56,64,97,72,118,121,124,100,96,99
Guatemala,224,274,294,334,385,395,403,314,294,300
Mexico,14132,16870,18110,18073,18242,18930,18218,18824,19955,20204
Trinidad And Tobago,000,000,417,572,603,628,616,487,591,36
United States,59384,80495,86398,88695,86878,88174,78845,78475,81612,86607
Argentina,4013,5138,5611,4995,5186,5488,5028,4126,4624,5162
Brazil,26506,32948,35220,34524,34163,33897,33258,31642,34778,35407
Chile,1308,1011,1615,1671,1323,1079,1112,1153,1158,1145
Colombia,1052,1208,1287,1302,1236,1208,1211,1272,1253,1219
Ecuador,259,372,463,425,570,667,720,576,561,583
Paraguay,54,59,30,44,45,47,48,35,24,25
Peru,718,880,877,981,1069,1078,1082,1168,1207,1217
Uruguay,57,65,81,78,91,94,97,61,58,60
Venezuela,3808,2207,2980,2359,2139,1485,1345,553,444,129
Algeria,597,662,551,557,417,415,650,650,415,2000
Dr Congo,30,30,30,30,30,30,30,30,30,30
Egypt,5541,6676,6485,6627,6754,6485,5506,5036,6870,7807
Ghana,25,25,25,25,25,25,25,25,25,25
Kenya,20,20,20,20,20,20,20,20,20,20
Libya,914,825,100,315,712,712,352,492,422,396
Mauritania,5,5,5,5,5,5,5,5,5,5
Morocco,499,485,654,539,558,501,516,520,550,600
Nigeria,100,100,100,100,100,100,100,100,100,100
South Africa,7484,7617,7546,6938,7162,6412,6417,6141,6301,6327
Tunisia,155,150,150,150,150,150,50,50,50,50
Uganda,30,30,30,30,30,30,30,30,30,30
Iran,10908,11995,13197,14463,15422,16331,16146,17895,21236,24520
Israel,300,300,300,300,300,300,300,300,300,300
Jordan,150,150,150,150,150,150,150,150,150,150
Oman,000,000,200,300,500,1500,2000,2000,2000,2000
Qatar,1448,1970,2038,2145,2236,3019,2593,2521,2644,2575
Saudi Arabia,4690,5015,5275,5203,5471,6291,5229,5461,4831,5240
Syria,70,70,70,10,10,5,5,5,5,5
United Arab Emirates,200,500,2000,2408,2878,2390,3006,3149,3309,3247
Bangladesh,70,78,85,87,84,90,100,100,100,100
China,577070,638743,701968,731040,822000,822306,803825,807609,870855,928264
India,63527,68976,73471,77264,81299,87292,89026,95477,101455,109272
Indonesia,3501,3664,3621,2254,2644,4351,4854,4746,5195,6183
Japan,87534,109599,107601,107232,110595,110666,105134,104775,104661,104319
North Korea,1300,1300,1300,1280,1250,1250,1250,1250,1250,1250
South Korea,48572,58914,68519,69073,66061,71543,69670,68576,71030,72464
Malaysia,5354,5694,5941,5612,4693,4316,3784,2764,3215,4108
Mongolia,35,35,35,35,40,45,45,50,50,50
Myanmar,25,25,25,25,30,35,35,35,35,35
Pakistan,1199,1401,1592,1631,1845,2423,2892,3553,4966,4719
Philippines,824,1050,1200,1260,1308,1196,968,1075,1378,1475
Singapore,664,728,752,688,434,540,501,520,596,618
Sri Lanka,30,30,30,30,30,30,30,30,30,30
Taiwan,15814,19755,20178,20664,22282,23221,21392,21751,22438,23240
Thailand,3646,4145,4256,3641,3613,5835,5069,5400,6762,6403
Vietnam,2700,4314,4900,5298,5474,5847,5647,7811,11473,15471
Australia,5249,7296,6404,4893,4688,4607,4925,5259,5328,5689
New Zealand,765,853,844,912,900,859,793,577,657,652
World,1238749,1433432,1538021,1560444,1650423,1671128,1621537,1629096,1732171,1816611
